2026-08-08 21:12:37 | INFO  | test.LoginTest  | ============================================================
2026-08-08 21:12:37 | INFO  | test.LoginTest  | STEP 1 : Login to MontreCY Admin Portal
2026-08-08 21:12:37 | INFO  | p.LoginPage     | Starting Login Process.
2026-08-08 21:12:37 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 21:12:37 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 21:12:38 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 21:12:38 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 21:12:38 | INFO  | test.LoginTest  | STEP 2 : Logout from MontreCY Admin Portal
2026-08-08 21:12:38 | INFO  | p.DashboardPage | Starting Logout process.
2026-08-08 21:12:38 | INFO  | p.DashboardPage | Clicked User Avatar.
2026-08-08 21:12:39 | INFO  | p.DashboardPage | Logout completed successfully.
2026-08-08 21:12:39 | INFO  | test.LoginTest  | STEP 3 : Validate Login page
2026-08-08 21:12:39 | INFO  | p.LoginPage     | Verifying Login page.
2026-08-08 21:12:39 | INFO  | test.LoginTest  | TEST RESULT : PASSED
2026-08-08 21:12:39 | INFO  | test.LoginTest  | ============================================================
2026-08-08 21:12:39 | INFO  | u.TestListener  | 
2026-08-08 21:12:39 | INFO  | u.TestListener  | ============================================================
2026-08-08 21:12:39 | INFO  | u.TestListener  | TEST EXECUTION SUMMARY
2026-08-08 21:12:39 | INFO  | u.TestListener  | ------------------------------------------------------------
2026-08-08 21:12:39 | INFO  | u.TestListener  | Suite       : Default Suite
2026-08-08 21:12:39 | INFO  | u.TestListener  | Total Tests : 7
2026-08-08 21:12:39 | INFO  | u.TestListener  | Passed      : 5
2026-08-08 21:12:39 | INFO  | u.TestListener  | Failed      : 1
2026-08-08 21:12:39 | INFO  | u.TestListener  | Skipped     : 1
2026-08-08 21:12:39 | INFO  | u.TestListener  | Pass Rate   : 71.43%
2026-08-08 21:12:39 | INFO  | u.TestListener  | Duration    : 97 sec
2026-08-08 21:12:39 | INFO  | u.TestListener  | ============================================================
2026-08-08 21:23:07 | INFO  | u.TestListener  | ============================================================
2026-08-08 21:23:07 | INFO  | u.TestListener  | TEST EXECUTION STARTED
2026-08-08 21:23:07 | INFO  | u.TestListener  | Suite : Default Suite
2026-08-08 21:23:07 | INFO  | u.TestListener  | ============================================================
2026-08-08 21:23:11 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:23:11 | INFO  | t.ContentTest   | TEST CASE : TC_004 - Verify Add New Subject
2026-08-08 21:23:11 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:23:11 | INFO  | t.ContentTest   | STEP 1 : Login
2026-08-08 21:23:11 | INFO  | p.LoginPage     | Starting Login Process.
2026-08-08 21:23:11 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 21:23:12 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 21:23:12 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 21:23:12 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 21:23:12 | INFO  | t.ContentTest   | STEP 2 : Navigate to Content
2026-08-08 21:23:12 | INFO  | p.ContentPage   | Clicking Content menu
2026-08-08 21:23:12 | INFO  | p.ContentPage   | Content page opened
2026-08-08 21:23:18 | INFO  | t.ContentTest   | STEP 3 : Add New Subject
2026-08-08 21:23:18 | INFO  | t.ContentTest   | Subject Name : Health
2026-08-08 21:23:18 | INFO  | t.ContentTest   | Image Path : D:\MontreCY\com.montrecy.automation\src\main\resources\Health.png
2026-08-08 21:23:21 | INFO  | p.ContentPage   | Opening Add New Subject
2026-08-08 21:23:21 | INFO  | p.ContentPage   | Entering Subject Name
2026-08-08 21:23:21 | INFO  | p.ContentPage   | Uploading Subject Image
2026-08-08 21:23:21 | INFO  | p.CommonActions | Clicking upload area
2026-08-08 21:23:21 | INFO  | p.CommonActions | Uploading file : D:\MontreCY\com.montrecy.automation\src\main\resources\Health.png
2026-08-08 21:23:21 | INFO  | p.CommonActions | File uploaded successfully
2026-08-08 21:23:21 | INFO  | p.ContentPage   | Clicking Add Subject
2026-08-08 21:23:22 | INFO  | p.ContentPage   | Subject 'Health' created successfully
2026-08-08 21:23:28 | INFO  | t.ContentTest   | TEST RESULT : PASSED
2026-08-08 21:23:28 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:23:30 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:23:30 | INFO  | t.ContentTest   | TEST CASE : TC_005 - Verify Add New Level
2026-08-08 21:23:30 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:23:30 | INFO  | t.ContentTest   | STEP 1 : Login
2026-08-08 21:23:30 | INFO  | p.LoginPage     | Starting Login Process.
